iter	RMSE
235	4.587965745
236	4.583939371
237	4.581905016
238	4.5760071
239	4.572650836
240	4.571614525
241	4.568210552
242	4.563328132
243	4.55821831
244	4.554582806
245	4.551512028
246	4.549983439
247	4.547846797
248	4.544562144
249	4.543839434
250	4.541898762
251	4.53810242
252	4.530415572
253	4.528671361
254	4.52594289
255	4.52458817
256	4.519157907
257	4.51804468
258	4.510739217
259	4.506529191
260	4.503465411
261	4.498971217
262	4.492354884
263	4.48923149
264	4.485923699
265	4.481545459
266	4.478414266
267	4.473579018
268	4.469789107
269	4.469164954
270	4.467910681
271	4.465631703
272	4.461882783
273	4.457131103
274	4.455935647
275	4.451030784
276	4.445015994
277	4.442326712
278	4.439513163
279	4.433375984
280	4.430817704
281	4.42911557
282	4.428142948
283	4.425763886
284	4.423589514
285	4.421623375
286	4.415944677
287	4.411437821
288	4.405005589
289	4.403204248
290	4.401267089
291	4.400088566
292	4.395671773
293	4.392598513
294	4.388555088
295	4.387458487
296	4.385802814
297	4.381739728
298	4.378889757
299	4.37204524
300	4.369672191
301	4.36882812
302	4.366010596
303	4.360668455
304	4.356169229
305	4.355637966
306	4.350765185
307	4.34839407
308	4.347248161
309	4.344635293
310	4.340943753
311	4.339866816
312	4.334720528
313	4.330258696
314	4.329754341
315	4.325599426
316	4.3201796
317	4.315702628
318	4.311807433
319	4.307231289
320	4.305473865
321	4.301662253
322	4.297181642
323	4.292624878
324	4.292297777
325	4.286853763
326	4.286451961
327	4.285729931
328	4.282449322
329	4.277816441
330	4.273574764
331	4.269110703
332	4.265041625
333	4.261339803
334	4.257743606
335	4.256746796
336	4.254578576
337	4.249389432
338	4.246799988
339	4.241970279
340	4.240195615
341	4.235757105
342	4.23244491
343	4.230740743
344	4.22978845
345	4.224717509
346	4.224305885
347	4.223251895
348	4.218667232
349	4.214455928
350	4.21099271
351	4.208509562
352	4.208223386
353	4.204776821
354	4.19842465
355	4.194644664
356	4.191464093
357	4.188154861
358	4.187309701
359	4.185253739
360	4.182387509
361	4.181743977
362	4.181538969
363	4.178292437
364	4.177931016
365	4.173609995
366	4.168755217
367	4.1674904
368	4.164523859
369	4.1641095
370	4.159069916
371	4.155876208
372	4.151044208
373	4.148170595
374	4.147186882
375	4.143887897
376	4.140886124
377	4.138777837
378	4.134934336
379	4.133430367
380	4.129869534
381	4.127509433
382	4.123462768
383	4.123135967
384	4.119810357
385	4.117103263
386	4.112203098
387	4.11185468
388	4.11154798
389	4.109736365
390	4.105471044
391	4.102678837
392	4.10013544
393	4.093574435
394	4.092945031
395	4.090579862
396	4.088000616
397	4.085604665
398	4.083720601
399	4.083342251
400	4.079282077
401	4.076065222
402	4.071351285
403	4.070646303
404	4.067202445
405	4.066768016
406	4.061611201
407	4.059745209
408	4.058292002
409	4.053058178
410	4.050764894
411	4.048082158
412	4.043780926
413	4.041989198
414	4.038482441
415	4.037615817
416	4.033766782
417	4.030879126
418	4.028057979
419	4.023392401
420	4.02023204
421	4.016566924
422	4.012094687
423	4.011565869
424	4.010734337
425	4.00621363
426	4.004861659
427	4.00129795
428	3.999419434
429	3.998565866
430	3.995849968
431	3.994034731
432	3.992350016
433	3.990509517
434	3.987213481
435	3.983661857
436	3.981141832
437	3.979519893
438	3.977495584
439	3.97244594
440	3.972164065
441	3.971898622
442	3.971572494
443	3.967043024
444	3.965101487
445	3.964105762
446	3.959521037
447	3.958097699
448	3.955025418
449	3.953650361
450	3.949036712
451	3.946255964
452	3.943627
453	3.94313375
454	3.939538126
455	3.937923861
456	3.936234452
457	3.934604552
458	3.930740357
459	3.92820892
460	3.927893227
461	3.922440956
462	3.920174148
463	3.917729257
464	3.913130516
465	3.910596042
466	3.910126069
467	3.909816184
468	3.90411225
469	3.901340634
470	3.898466687
471	3.896895375
472	3.896469538
473	3.893757575
474	3.892038973
475	3.889734676
476	3.886468446
477	3.885431266
478	3.881175872
479	3.878722864
480	3.875353521
481	3.873152984
482	3.872239127
483	3.867780724
484	3.864091813
485	3.861474207
486	3.860416928
487	3.857457694
488	3.856297225
489	3.853904228
490	3.853611751
491	3.850811196
492	3.846164711
493	3.843354617
494	3.841243711
495	3.836532723
496	3.83137462
497	3.828027941
498	3.827078415
499	3.825285378
500	3.821889413
501	3.821570809
502	3.81817005
503	3.817768275
504	3.817495344
505	3.813315944
506	3.810619954
507	3.807577099
508	3.805601916
509	3.803281126
510	3.800025344
511	3.797844516
512	3.795766746
513	3.794411765
514	3.790960187
515	3.790676794
516	3.788430417
517	3.788172576
518	3.785639224
519	3.782736283
520	3.777942121
521	3.776612026
522	3.775106799
523	3.772225197
524	3.770944036
525	3.768952731
526	3.768192278
527	3.765548948
528	3.762546836
529	3.760047179
530	3.756885532
531	3.754310905
532	3.750855013
533	3.750602564
534	3.750256451
535	3.746669697
536	3.746225254
537	3.741131921
538	3.738561483
539	3.738214221
540	3.736008653
541	3.733091311
542	3.730875915
543	3.728940038
544	3.726850964
545	3.723585977
546	3.719778505
547	3.718184676
548	3.71441509
549	3.713568035
550	3.709366473
551	3.706041266
552	3.703396495
553	3.702709423
554	3.701280148
555	3.700799
556	3.697581481
557	3.695051601
558	3.691714989
559	3.690533158
560	3.688786984
561	3.688642187
562	3.687489944
563	3.685490339
564	3.683235493
565	3.682444082
566	3.677915151
567	3.675429898
568	3.672703867
569	3.66822463
570	3.666610737
571	3.665279407
572	3.663960779
573	3.661201055
574	3.659880038
575	3.659637353
576	3.658399891
577	3.657122874
578	3.65671619
579	3.655038973
580	3.650030738
581	3.647765257
582	3.646643898
583	3.646218574
584	3.644015703
585	3.642853587
586	3.642168957
587	3.639636945
588	3.637872057
589	3.635003549
590	3.631947815
591	3.630081148
592	3.629466704
593	3.627371344
594	3.623594607
595	3.619555791
596	3.619001815
597	3.617774867
598	3.617650508
599	3.616598574
600	3.613377434
601	3.612365853
602	3.609851592
603	3.606430114
604	3.606012326
605	3.603658481
606	3.602392422
607	3.598842769
608	3.59608701
609	3.593069354
610	3.589744985
611	3.58700464
612	3.584875025
613	3.583969675
614	3.580133743
615	3.579692012
616	3.577698189
617	3.575652295
618	3.57215328
619	3.568768094
620	3.564824017
621	3.56364754
622	3.562998823
623	3.561864599
624	3.55762414
625	3.55668475
626	3.556372272
627	3.553980324
628	3.551331603
629	3.550537271
630	3.550218136
631	3.547344299
632	3.543683612
633	3.540908842
634	3.538127823
635	3.533865272
636	3.528558598
637	3.525428269
638	3.524916777
639	3.522358886
640	3.520508491
641	3.517274395
642	3.51488249
643	3.514560328
644	3.509575141
645	3.509024883
646	3.505333709
647	3.504527945
648	3.501944369
649	3.499221664
650	3.49743455
651	3.494959547
652	3.49279314
653	3.489749497
654	3.488586674
655	3.487456869
656	3.484429595
657	3.482020672
658	3.481872616
659	3.480091779
660	3.478842264
661	3.477030728
662	3.475868184
663	3.472940724
664	3.470224613
665	3.466505881
666	3.463692879
667	3.462274136
668	3.4619726
669	3.460044376
670	3.458507727
671	3.45647271
672	3.451667819
673	3.449983945
674	3.449835592
675	3.449708674
676	3.448929967
677	3.445535987
678	3.444775717
679	3.441890524
680	3.439758327
681	3.437903643
682	3.433591022
683	3.431757431
684	3.429242034
685	3.429161354
686	3.426388625
687	3.422277188
688	3.421738455
689	3.417495673
690	3.414218178
691	3.411148648
692	3.408377251
693	3.408029924
694	3.407853797
695	3.404705886
696	3.400912049
697	3.39833941
698	3.398168218
699	3.398041943
700	3.396931932
701	3.394247032
702	3.392351082
703	3.389922159
704	3.386540606
705	3.384873561
706	3.38341267
707	3.381312675
708	3.378417039
709	3.373843617
710	3.369998949
711	3.36802505
712	3.366042293
713	3.363539688
714	3.360837191
715	3.359984587
716	3.357780458
717	3.355750518
718	3.354524949
719	3.351514016
720	3.350830505
721	3.350673321
722	3.347623537
723	3.345035503
724	3.341290491
725	3.338555199
726	3.336405059
727	3.335942817
728	3.333865353
729	3.331087455
730	3.328390101
731	3.326869779
732	3.325205002
733	3.321013583
734	3.320686411
735	3.31909922
736	3.31847195
737	3.318323096
738	3.31578735
739	3.313318737
740	3.31189765
741	3.31013813
742	3.310023456
743	3.308205729
744	3.307981839
745	3.305944215
746	3.304456401
747	3.304153286
748	3.300242685
749	3.297958156
750	3.295799286
751	3.294637546
752	3.294542486
753	3.293844646
754	3.292584567
755	3.291971251
756	3.288633112
757	3.286854572
758	3.286629544
759	3.285582016
760	3.285389991
761	3.282268551
762	3.280563271
763	3.277669263
764	3.275969602
765	3.27256714
766	3.270896026
767	3.269831941
768	3.267827595
769	3.267535343
770	3.265339593
771	3.263888158
772	3.263092585
773	3.261394119
774	3.259682596
775	3.257733667
776	3.253625977
777	3.252880798
778	3.252795591
779	3.2518659
780	3.250552366
781	3.250008483
782	3.249879763
783	3.248095595
784	3.245755829
785	3.242839072
786	3.239202051
787	3.236797028
788	3.235793778
789	3.235656103
790	3.233020632
791	3.230303773
792	3.227482794
793	3.226597702
794	3.224111768
795	3.222976958
796	3.221667497
797	3.219251624
798	3.216570742
799	3.213083359
800	3.212436382
801	3.211821904
802	3.210641838
803	3.209844392
804	3.209762216
805	3.208647786
806	3.205699202
807	3.205086158
808	3.204909634
809	3.203902925
810	3.203127082
811	3.199562743
812	3.198662328
813	3.197183253
814	3.197103248
815	3.195408222
816	3.19447645
817	3.193894646
818	3.193444195
819	3.191900048
820	3.190408557
821	3.188494722
822	3.188377491
823	3.18681463
824	3.185919453
825	3.184881449
826	3.182625281
827	3.179733716
828	3.177096561
829	3.17570156
830	3.175030071
831	3.173271788
832	3.171958335
833	3.170491484
834	3.16784718
835	3.165683046
836	3.16559078
837	3.165458426
838	3.163144814
839	3.162404063
840	3.160948744
841	3.160315259
842	3.15828068
843	3.157848778
844	3.156588566
845	3.153845817
846	3.153383273
847	3.151952751
848	3.151197427
849	3.150005776
850	3.148245948
851	3.146881851
852	3.146571696
853	3.145380053
854	3.142928615
855	3.141412722
856	3.139586652
857	3.13831044
858	3.137744922
859	3.137573471
860	3.135854577
861	3.134204653
862	3.132440126
863	3.130491737
864	3.129206905
865	3.126523284
866	3.124236705
867	3.123304587
868	3.122887264
869	3.120595445
870	3.119038616
871	3.118890915
872	3.117343381
873	3.114790066
874	3.113850738
875	3.110423734
876	3.109090198
877	3.108802908
878	3.106822622
879	3.105794968
880	3.104093821
881	3.101275489
882	3.101222849
883	3.09935739
884	3.096856941
885	3.096050473
886	3.09535136
887	3.092645201
888	3.089153641
889	3.087020642
890	3.0869591
891	3.084575423
892	3.081989646
893	3.079388242
894	3.076545401
895	3.073237394
896	3.072459873
897	3.070871321
898	3.070129737
899	3.067244255
900	3.067131412
901	3.065433987
902	3.061645995
903	3.060050575
904	3.057643511
905	3.056942275
906	3.053768366
907	3.051035447
908	3.049424785
909	3.048950098
910	3.046841384
911	3.044192529
912	3.043090643
913	3.042477982
914	3.042347657
915	3.039810467
916	3.037608199
917	3.037268329
918	3.036691393
919	3.034190858
920	3.033519995
921	3.033473458
922	3.03132867
923	3.02891112
924	3.026866432
925	3.025228008
926	3.023692519
927	3.020849823
928	3.018574451
929	3.017625604
930	3.016283122
931	3.013157156
932	3.010179147
933	3.009281257
934	3.007455599
935	3.005974795
936	3.005721514
937	3.004333585
938	3.00281163
939	2.999965248
940	2.997616529
941	2.996270293
942	2.995427322
943	2.995128284
944	2.992236727
945	2.991076615
946	2.990874871
947	2.990626793
948	2.98787839
949	2.987278118
950	2.987055022
951	2.984481063
952	2.983421312
953	2.980344989
954	2.979282422
955	2.977457279
956	2.976392166
957	2.974049086
958	2.97214767
959	2.971047757
960	2.970183653
961	2.968420688
962	2.968288664
963	2.966612131
964	2.965855572
965	2.963868268
966	2.963329817
967	2.96205363
968	2.961315427
969	2.960205057
970	2.959829094
971	2.95787254
972	2.957454985
973	2.955317717
974	2.954094028
975	2.952452504
976	2.951172848
977	2.949568963
978	2.947698092
979	2.946652641
980	2.94500887
981	2.944926229
982	2.942780812
983	2.941739924
984	2.940387886
985	2.938406284
986	2.936665802
987	2.934818403
988	2.93236584
989	2.930569431
990	2.927300518
991	2.925251976
992	2.923211985
993	2.922293877
994	2.919693853
995	2.917587626
996	2.916020029
997	2.914711959
998	2.912679447
999	2.912511619
